no_diacritics,with_diacritics
"Doi voi kinh te Viet Nam, chi co giam thue moi truong, thue tieu thu dac biet va thue VAT doi voi xang dau moi co the kim ham da tang cua mat hang nay.","Đối với kinh tế Việt Nam, chỉ có giảm thuế môi trường, thuế tiêu thụ đặc biệt và thuế VAT đối với xăng dầu mới có thể kìm hãm đà tăng của mặt hàng này."
SHB- Da Nang gap Becamex- Binh Duong o vong 2 AFC Cup.,SHB- Đà Nẵng gặp Becamex- Bình Dương ở vòng 2 AFC Cup.
"HLV Huu Thang lo lang tuong lai cua Xuan Truong, Tuan Anh, Cong Phuong.","HLV Hữu Thắng lo lắng tương lai của Xuân Trường, Tuấn Anh, Công Phượng."
Cac loai dong vat den xau xe mo mem xac ca voi.,Các loài động vật đến xâu xé mô mềm xác cá voi.
Bi quyet gay soc cua nu hoang catwalk Cara Delevin de khong vo ech tren tham do.,Bí quyết gây sốc của nữ hoàng catwalk Cara Delevin để không vồ ếch trên thảm đỏ.
Ky luc the gioi moi tu dien thoai XP3300 Force sieu khung cua SONIM.,Kỷ lục thế giới mới từ điện thoại XP3300 Force siêu khủng của SONIM.
Am vang mot dong song.,Âm vang một dòng sông.
Han Quoc lap van phong xu ly toi pham lien quan toi nguoi Viet.,Hàn Quốc lập văn phòng xử lý tội phạm liên quan tới người Việt.
Be boi doping dien kinh 'kieu Nga' bat dau lan rong.,Bê bối doping điền kinh 'kiểu Nga' bắt đầu lan rộng.
Tin van the thao ngay 14-9.,Tin vắn thể thao ngày 14-9.
"Hai doanh nghiep duoc vay 657,7 ty dong theo goi tin dung uu dai 30 nghin ty.","Hai doanh nghiệp được vay 657,7 tỷ đồng theo gói tín dụng ưu đãi 30 nghìn tỷ."
"Mot so thi sinh da biet nam bat co hoi, coi day la noi the hien minh nen da rat trach nhiem, no luc voi phan thi, the hien duoc khat khao duoc tien vao vong trong.","Một số thí sinh đã biết nắm bắt cơ hội, coi đây là nơi thể hiện mình nên đã rất trách nhiệm, nỗ lực với phần thi, thể hiện được khát khao được tiến vào vòng trong."
Chien luoc tri hoan cua Trung Quoc o bien Dong.,Chiến lược trì hoãn của Trung Quốc ở biển Đông.
Cau vuot ngay thong xe.,Cầu vượt ngày thông xe.
Truong DH Cong nghiep TPHCM tiep tuc xet tuyen.,Trường ĐH Công nghiệp TPHCM tiếp tục xét tuyển.
Giai cuu tau 3.200 tan 'huc dau' vao cau An Thai.,Giải cứu tàu 3.200 tấn 'húc đầu' vào cầu An Thái.
Tai nan duong bo gay ach tac duong sat Thong Nhat.,Tai nạn đường bộ gây ách tắc đường sắt Thống Nhất.
Vi sao Kroos khong the thay the duoc Alonso?.,Vì sao Kroos không thể thay thế được Alonso?.
Cuoc doi len voi xuong cho cua nhung ban sao.,Cuộc đời lên voi xuống chó của những bản sao.
Nguoi Sai Gon 'boc chay' vi nang nong.,Người Sài Gòn 'bốc cháy' vì nắng nóng.
Citigroup canh bao the gioi ben bo vuc suy thoai.,Citigroup cảnh báo thế giới bên bờ vực suy thoái.
"Cu the, hien tuong tien san giat se thuong co cac trieu chung nhu sung phu co the kem theo dau dau dai dang, thay doi thi luc, dau bung, tang can dot ngot.","Cụ thể, hiện tượng tiền sản giật sẽ thường có các triệu chứng như sưng phù có thể kèm theo đau đầu dai dẳng, thay đổi thị lực, đau bụng, tăng cân đột ngột."
Bao dong o Iraq lai khuay dao thi truong chung khoan.,Bạo động ở Iraq lại khuấy đảo thị trường chứng khoán.
Bi thu huyen Hoc Mon lam chu tich HDND.,Bí thư huyện Hóc Môn làm chủ tịch HĐND.
Rut sung ban canh sat khi ban gai khong doi mu bao hiem.,Rút súng bắn cảnh sát khi bạn gái không đội mũ bảo hiểm.
Nhung noi so muon doi khong loi giai cua loai nguoi.,Những nỗi sợ muôn đời không lời giải của loài người.
Nha dau tu tiep tuc gom co phieu thi truong moi noi.,Nhà đầu tư tiếp tục gom cổ phiếu thị trường mới nổi.
Tang cuong co xat cho doi tuyen U23 QG.,Tăng cường cọ xát cho đội tuyển U23 QG.
Hoc bong khung tu cac truong Cao dang cong dong My..,Học bổng khủng từ các trường Cao đẳng cộng đồng Mỹ..
"An Do: Tau trat duong ray, it nhat 11 nguoi thiet mang.","Ấn Độ: Tàu trật đường ray, ít nhất 11 người thiệt mạng."
Hai cu gia bi dien giat chet tai nghia trang.,Hai cụ già bị điện giật chết tại nghĩa trang.
Tom VN bi dieu tra vu kien chong tro cap.,Tôm VN bị điều tra vụ kiện chống trợ cấp.
"Buc tranh chi tiet bat dau tai Cong Trinh Duong cua Bac Kinh va di qua Quang truong Thien An Mon, voi hinh anh cu dan cua thanh pho ben canh hang ngu linh gac va nguoi cam co.","Bức tranh chi tiết bắt đầu tại Cổng Trịnh Dương của Bắc Kinh và đi qua Quảng trường Thiên An Môn, với hình ảnh cư dân của thành phố bên cạnh hàng ngũ lính gác và người cầm cờ."
Bao Kommersant dan nguon tin tu chuyen gia thi truong canh bao rang dong tien moi co the khong su dung duoc vi nha cung cap tu choi cap nhat cho thiet bi.,Báo Kommersant dẫn nguồn tin từ chuyên gia thị trường cảnh báo rằng đồng tiền mới có thể không sử dụng được vì nhà cung cấp từ chối cập nhật cho thiết bị.
Vo chong Tran Hao rang ro ben 2 quy tu dang yeu.,Vợ chồng Trần Hào rạng rỡ bên 2 quý tử đáng yêu.
Doan tau Bac - Nam hoang loan vi mot nguoi nam giua duong ray.,Đoàn tàu Bắc - Nam hoảng loạn vì một người nằm giữa đường ray.
Xe khach bien so Lao chay tro khung tren duong Ho Chi Minh.,Xe khách biển số Lào cháy trơ khung trên đường Hồ Chí Minh.
Ca si hoi cho giet nguoi yeu trong con ngao da bi khoi to.,Ca sĩ hội chợ giết người yêu trong cơn ngáo đá bị khởi tố.
Phan khoa hoc bi kip bo thai sieu toc chi voi gia 50 ngan dong.,Phản khoa học bí kíp bỏ thai siêu tốc chỉ với giá 50 ngàn đồng.
Nghe si Hong Nga miet mai lam tu thien.,Nghệ sĩ Hồng Nga miệt mài làm từ thiện.
"TS Quoc Hung cho biet: ""Tinh trang suy giam mien dich sau nhiem COVID-19 keo dai khien co dia benh nhan suy yeu la nguy co gia tang ty le nguoi benh bi nhiem nam, tao dieu kien cho vi sinh vat tan cong.","TS Quốc Hùng cho biết: ""Tình trạng suy giảm miễn dịch sau nhiễm COVID-19 kéo dài khiến cơ địa bệnh nhân suy yếu là nguy cơ gia tăng tỷ lệ người bệnh bị nhiễm nấm, tạo điều kiện cho vi sinh vật tấn công."
"Theo Nikkei, ke hoach cua CEO Zhang da pha san khi chua kip giam su phu thuoc vao nguon thu chinh la thuong mai dien tu thi da bi chinh phu kiem soat cung nhu bi cac doi thu canh tranh khoc liet.","Theo Nikkei, kế hoạch của CEO Zhang đã phá sản khi chưa kịp giảm sự phụ thuộc vào nguồn thu chính là thương mại điện tử thì đã bị chính phủ kiểm soát cũng như bị các đối thủ cạnh tranh khốc liệt."
Chinh truong Thai Lan nhieu ap luc.,Chính trường Thái Lan nhiều áp lực.
Ve dep bat tan canh dong muoi lon nhat the gioi tai Bolivia.,Vẻ đẹp bất tận cánh đồng muối lớn nhất thế giới tại Bolivia.
"Vay ngoai te, coi chung sai lam lap lai.","Vay ngoại tệ, coi chừng sai lầm lặp lại."
Truong Hinh Du di kien vi tin don ban dam va pha thai.,Trương Hinh Dư đi kiện vì tin đồn bán dâm và phá thai.
"Tre kinh 2 tuan, dung que thu chi co 1 vach..","Trễ kinh 2 tuần, dùng que thử chỉ có 1 vạch.."
"Thoa thuan duoc dua ra hai nam sau khi Toa Trong tai Thuong truc (PCA) o The Hague (Ha Lan) hoi nam 2016 da bac bo yeu sach ve quyen lich su cua Trung Quoc tai Bien Dong, hay con goi la “duong luoi bo”. Trong tuyen bo, Toa cho biet ""duong chin doan"" cua Trung Quoc la khong co co so phap ly, dong thoi khang dinh Trung Quoc ""khong co quyen lich su"" tai Bien Dong.","Thỏa thuận được đưa ra hai năm sau khi Tòa Trọng tài Thường trực (PCA) ở The Hague (Hà Lan) hồi năm 2016 đã bác bỏ yêu sách về quyền lịch sử của Trung Quốc tại Biển Đông, hay còn gọi là “đường lưỡi bò”. Trong tuyên bố, Tòa cho biết ""đường chín đoạn"" của Trung Quốc là không có cơ sở pháp lý, đồng thời khẳng định Trung Quốc ""không có quyền lịch sử"" tại Biển Đông."
"Dac biet, tu sau khi Thuong truc Ban Chi dao ban hanh co che chi dao phoi hop phat hien, xu ly cac sai pham qua kiem tra, giam sat, thanh tra, kiem toan, dieu tra, truy to, xet xu, thi hanh an, cac co quan chuc nang chuyen den co quan dieu tra xem xet, xu ly hon 330 vu viec co dau hieu toi pham truoc khi ban hanh ket luan kiem tra, thanh tra.","Đặc biệt, từ sau khi Thường trực Ban Chỉ đạo ban hành cơ chế chỉ đạo phối hợp phát hiện, xử lý các sai phạm qua kiểm tra, giám sát, thanh tra, kiểm toán, điều tra, truy tố, xét xử, thi hành án, các cơ quan chức năng chuyển đến cơ quan điều tra xem xét, xử lý hơn 330 vụ việc có dấu hiệu tội phạm trước khi ban hành kết luận kiểm tra, thanh tra."
"Cay hang nam khac bi thiet hai tren 70% dien tich, ho tro 6.000.000 dong/ha; thiet hai tu 30% - 70% dien tich, ho tro 3.000.000 dong/ha.","Cây hàng năm khác bị thiệt hại trên 70% diện tích, hỗ trợ 6.000.000 đồng/ha; thiệt hại từ 30% - 70% diện tích, hỗ trợ 3.000.000 đồng/ha."
Pho Chu tich Quoc hoi kiem tra Nghi quyet TW 4 o Tuyen Quang.,Phó Chủ tịch Quốc hội kiểm tra Nghị quyết TW 4 ở Tuyên Quang.
My: Truc thang truyen hinh roi giua pho.,Mỹ: Trực thăng truyền hình rơi giữa phố.
"Chuc tat ca cac ban khong truot tu"" - Thuy Trang hai huoc noi.","Chúc tất cả các bạn không trượt tủ"" - Thùy Trang hài hước nói."
BVS: TB dang ky luu ky CP bo sung.,BVS: TB đăng ký lưu ký CP bổ sung.
Canh bao la can thiet.,Cảnh báo là cần thiết.
Hon 600 ngu dan An Do mat tich o vinh Bengal.,Hơn 600 ngư dân Ấn Độ mất tích ở vịnh Bengal.
"Tin loi thay boi, me ep toi bo nguoi yeu.","Tin lời thầy bói, mẹ ép tôi bỏ người yêu."
Them 1.600 ty dong vao Khu kinh te Dung Quat.,Thêm 1.600 tỷ đồng vào Khu kinh tế Dung Quất.
Bau Hien manh tay chi thuong sau chien thang dau tien cua Ha Noi TT.,Bầu Hiển mạnh tay chi thưởng sau chiến thắng đầu tiên của Hà Nội TT.
"TP Vung Tau: Mua gio chuong, canh giac khi tam bien.","TP Vũng Tàu: Mùa gió chướng, cảnh giác khi tắm biển."
"Vinh Hai - quan quan ""Thu thach cung buoc nhay"" 2012.","Vinh Hải - quán quân ""Thử thách cùng bước nhảy"" 2012."
Anh: Dien mao moi loe loet cua Nha hat lon Ha Noi.,Ảnh: Diện mạo mới lòe loẹt của Nhà hát lớn Hà Nội.
Myanmar: Nha bao bieu tinh doi tha dong nghiep.,Myanmar: Nhà báo biểu tình đòi thả đồng nghiệp.
Thi dai hoc va nhung tro ca cuoc sieu ngo.,Thi đại học và những trò cá cược siêu ngố.
"Chua het, cap Kostas Tsimikas va Alex Oxlade-Chamberlain cung se phai dieu tri chan thuong.","Chưa hết, cặp Kostas Tsimikas và Alex Oxlade-Chamberlain cũng sẽ phải điều trị chấn thương."
Tin tuc thoi su moi nhat hom nay ngay 19/11.,Tin tức thời sự mới nhất hôm nay ngày 19/11.
"Tuy nhien, phia ngan hang cho rang day la viec kinh doanh cua ngan hang nen khong the thuc hien theo de nghi cua VETC.","Tuy nhiên, phía ngân hàng cho rằng đây là việc kinh doanh của ngân hàng nên không thể thực hiện theo đề nghị của VETC."
Nghe quet cat tim vang tren duong pho.,Nghề quét cát tìm vàng trên đường phố.
"""Voi su nang dong sang tao, phat huy sang kien cua lanh dao Thanh uy va Chu tich UBND TP HCM Mai Chi Tho, tu do kinh te thanh pho bat dau guong day phat trien, duy tri phat trien san xuat cua trung tam cong nghiep nay cung cap san pham hang hoa cho toan mien Nam va ca nuoc.","""Với sự năng động sáng tạo, phát huy sáng kiến của lãnh đạo Thành ủy và Chủ tịch UBND TP HCM Mai Chí Thọ, từ đó kinh tế thành phố bắt đầu gượng dậy phát triển, duy trì phát triển sản xuất của trung tâm công nghiệp này cung cấp sản phẩm hàng hóa cho toàn miền Nam và cả nước."
"Song song do, show duoc phat truc tiep va phat lai tren nen tang online eBox: ebox.vnexpress.net.","Song song đó, show được phát trực tiếp và phát lại trên nền tảng online eBox: ebox.vnexpress.net."
Laptop 'sieu mau' Z light gia chi 11 trieu.,Laptop 'siêu mẫu' Z light giá chỉ 11 triệu.
U23 Argentina chia tay Olympic Rio.,U23 Argentina chia tay Olympic Rio.
Tau ngam tan cong hat nhan chien luoc the he thu nam.,Tàu ngầm tấn công hạt nhân chiến lược thế hệ thứ năm.
Real va Ribery vien dan Luat 17 don ep Bayern: Nuoc co cuoi cung.,Real và Ribery viện dẫn Luật 17 dồn ép Bayern: Nước cờ cuối cùng.
5 doi tuong quan 30 kg vang quanh nguoi tu Hong Kong ve Viet Nam.,5 đối tượng quấn 30 kg vàng quanh người từ Hồng Kông về Việt Nam.
Danh bom o Somalia va LB Nga: Hon 100 nguoi thuong vong.,Đánh bom ở Somalia và LB Nga: Hơn 100 người thương vong.
Mua lu de doa mien nui phia Bac.,Mưa lũ đe dọa miền núi phía Bắc.
Bap benh tren tru dien.,Bập bênh trên trụ điện.
Ba noi tro lung mua nong san mini Da Lat.,Bà nội trợ lùng mua nông sản mini Đà Lạt.
"Tuy nhien, bo doi trai tai, gai sac nay da dem lai thanh cong ngoai mong doi cho tac pham.","Tuy nhiên, bộ đôi trai tài, gái sắc này đã đem lại thành công ngoài mong đợi cho tác phẩm."
"Sua Minh Nga bi to kem chat luong, nha san xuat tra loi ""vong vo"".","Sữa Minh Nga bị tố kém chất lượng, nhà sản xuất trả lời ""vòng vo""."
Tau Belgorod cung co the mang theo khi cu ngam duoi nuoc cho phep thuy thu doan cat dut cap ngam va thuc hien cac thao tac duoi day bien.,Tàu Belgorod cũng có thể mang theo khí cụ ngầm dưới nước cho phép thủy thủ đoàn cắt đứt cáp ngầm và thực hiện các thao tác dưới đáy biển.
Di tim nguoi quyet dinh cuoc doi cua ban.,Đi tìm người quyết định cuộc đời của bạn.
Khong duoc an han thue 275 ngay neu no tien phat.,Không được ân hạn thuế 275 ngày nếu nợ tiền phạt.
30 phat minh ky la cua dan thuong Trung Quoc (ky 2).,30 phát minh kỳ lạ của dân thường Trung Quốc (kỳ 2).
Ngoi nha khong dung hang.,Ngôi nhà không đụng hàng.
Cai cach moi truong kinh doanh can lan toa manh me hon.,Cải cách môi trường kinh doanh cần lan tỏa mạnh mẽ hơn.
"Chuong trinh co cac noi dung, phan viec cu the: tu van, huong dan, ho tro thi sinh, huong dan phong thi, ho tro y te, xu ly cac tinh huong khan cap, dam bao an ninh trat tu tai cac diem thi.","Chương trình có các nội dung, phần việc cụ thể: tư vấn, hướng dẫn, hỗ trợ thí sinh, hướng dẫn phòng thi, hỗ trợ y tế, xử lý các tình huống khẩn cấp, đảm bảo an ninh trật tự tại các điểm thi."
Sung so truoc giong hat xam di dom cua 'nghe si' nhi 6 tuoi.,Sững sờ trước giọng hát xẩm dí dỏm của 'nghệ sĩ' nhí 6 tuổi.
Yamagami tung la thanh vien luc luong Phong ve Bien Nhat Ban.,Yamagami từng là thành viên lực lượng Phòng vệ Biển Nhật Bản.
"Ep buoc cha con ""nguoi rung"" song van minh: Ai se co loi?.","Ép buộc cha con ""người rừng"" sống văn minh: Ai sẽ có lợi?."
"Ngay 11/9, JVC chot quyen tham du Dai hoi dong co dong.","Ngày 11/9, JVC chốt quyền tham dự Đại hội đồng cổ đông."
"Chinh quyen Tham Quyen da yeu cau 100 cong ty lon nhat thiet lap vong khep kin, theo do cac nhan vien bi han che tiep xuc voi nguoi ben ngoai cong ty.","Chính quyền Thâm Quyến đã yêu cầu 100 công ty lớn nhất thiết lập vòng khép kín, theo đó các nhân viên bị hạn chế tiếp xúc với người bên ngoài công ty."
Nhu vay dong nghia voi viec ca huan luyen vien Bae Ji-won va bac si Kim se khong the gop mat o tran dau nay.,Như vậy đồng nghĩa với việc cả huấn luyện viên Bae Ji-won và bác sĩ Kim sẽ không thể góp mặt ở trận đấu này.
Xich lo Viet Nam vao top phuong tien doc dao nhat the gioi.,Xích lô Việt Nam vào top phương tiện độc đáo nhất thế giới.
Lai dua lai suat huy dong von.,Lại đua lãi suất huy động vốn.
Chuong trinh giao duc pho thong: Gop y cua nghien cuu sinh tu New Zealand.,Chương trình giáo dục phổ thông: Góp ý của nghiên cứu sinh từ New Zealand.
"Phai xac minh vu viec, bao cao voi Thu tuong.","Phải xác minh vụ việc, báo cáo với Thủ tướng."
"Chien su tiep dien o Gaza, Israel the bao thu vi mot si quan.","Chiến sự tiếp diễn ở Gaza, Israel thề báo thù vì một sĩ quan."
"Khoang 22h, 2 doi tuong len taxi do anh N.M.H dieu khien.","Khoảng 22h, 2 đối tượng lên taxi do anh N.M.H điều khiển."
Ba me mot con Irina Shayk 'lan at' dan mau tren tham do.,Bà mẹ một con Irina Shayk 'lấn át' dàn mẫu trên thảm đỏ.
Trien lam 120 tu lieu quy hiem ve chu quyen bien dao tai Truong Sa.,Triển lãm 120 tư liệu quý hiếm về chủ quyền biển đảo tại Trường Sa.
